"","Uninfected_1","Uninfected_2","Uninfected_3","IC2_1","IC2_2","IC2_3","NQY_1","NQY_2","NQY_3"
"0610007P14Rik",119.666103009441,119.608261574631,121.840688302868,114.437637854868,111.28673334731,103.049130053328,104.784226258333,97.1634094303704,105.317492271029
"0610009B22Rik",13.4519272703821,14.74014210942,12.0947785190722,25.5763202082513,23.6933045191048,26.5991608741688,27.8773769652086,27.1897606636427,26.9562629027039
"0610009O20Rik",78.2827434206961,74.1446907311189,77.9260897873105,57.0548681568684,58.5152823729406,55.0077884744716,54.4530865234814,54.4794836826665,62.2710569380291
"0610010F05Rik",25.7828606015658,25.3068704890645,27.9235155071196,48.0922260326094,48.0148405974283,48.8556016056162,46.10072066231,45.682796409135,43.1509169721577
"0610010K14Rik",31.7614949439579,33.8312900222231,34.0926642819484,28.8553356195656,26.7447149495956,24.7896941480349,28.4197383847652,26.1901371098323,26.2248914285995
"0610011F06Rik",12.6111818159833,12.1650570421117,12.662989590438,9.18124315167997,7.00029451700824,10.6758536841902,7.70153215770355,6.49755309976756,8.56749441093689
"0610012G03Rik",28.1182646415627,23.797337863401,29.1411106600463,28.8553356195656,27.3729465088143,26.5991608741688,30.4807117790802,28.6891959943583,34.061014365432
"0610030E20Rik",51.1920565567321,51.9456815301851,53.0871486676053,41.7527962374018,43.6172196828975,44.6033547992015,43.714330416261,46.3825328968023,46.180884507733
"0610037L13Rik",15.8807474719789,18.5583716919806,15.6663909676572,15.5206729468876,15.6160416148645,16.2852005352054,19.1995942523032,15.3942027286801,17.7618786568204
"0610040B10Rik",0.373664646399504,0.710368294429881,0.487038061170691,1.96740924678856,2.78216833368276,2.53325341658751,3.36264080125085,2.09920946300183,2.82100425725971
"0610040J01Rik",0.186832323199752,0.17759207360747,0.16234602039023,2.18601027420952,1.52570521524538,1.62852005352054,1.95250111040372,2.19917181838287,1.5672245873665
"1110001J03Rik",17.7490707039764,18.2919835815694,18.0204082633156,33.6645582228265,34.2834936602198,34.4703411328515,33.6264080125085,32.3878031434568,31.5534550256456
"1110002J07Rik",1.58807474719789,3.2854533617382,2.84105535682903,2.84181335647237,1.34621048404005,1.89994006244063,1.73555654258108,2.29913417376391,1.77618786568204
"1110002L01Rik",14.0124242399814,12.6978332629341,13.5558927025842,20.6577970912799,22.9753255942834,20.3565006690068,18.6572328327466,18.3930733901113,17.3439521001893
"1110004E09Rik",18.6832323199752,19.6239241336255,22.9719618852176,23.7182114751733,22.0778519382567,21.0802873594603,22.2368182018201,20.4922828531131,21.9411442231311
"1110004F10Rik",92.9490807918767,95.544535600819,84.9881416742855,135.6419375147,128.338732811818,134.443377751751,134.397159766123,128.951438441541,131.855828617102
"1110006O24Rik",2.3354040399969,2.39749299370085,2.11049826507299,5.68362671294474,7.62852607622692,6.42360687777547,8.35236586117146,5.99774132286237,7.00026982357038
"1110008F13Rik",74.1724323103016,69.1721126701097,75.8967645324326,73.7778467545712,64.7975979651275,67.8550022300226,70.2900399745338,63.1762086008169,68.6444369266529
"1110008L16Rik",12.050684846384,14.4737539990088,11.7700864782917,19.4554914404647,19.3854309701767,18.8184539517929,21.3690399305296,21.1920193407804,17.6573970176626
"1110008P14Rik",21.9527979759709,21.5774369433076,23.8648649973638,25.9042217493828,22.7060834974754,23.5230674397412,24.5147361639578,21.2919816961614,22.6725156972354
"1110012L19Rik",5.04447272639331,6.21572257626146,7.14322489717013,12.7881601041257,11.9363996251551,10.13301366635,11.9319512302449,12.595256778011,13.1646865338786
"1110018N20Rik",0.186832323199752,0.266388110411205,0.405865050975576,0.874404109683807,1.34621048404005,0.995206699373664,0.867778271290541,0.699736487667276,1.35826130905097
"1110019D14Rik",4.39055959519417,4.35100580338302,3.89630448936553,6.55803082262855,6.91054715140557,5.6998201873219,6.94222617032433,6.5975154551486,6.37337998862378
"1110020A21Rik",0.280248484799628,0.0887960368037352,0.0811730101951151,1.63950770565714,0.987221021629367,0.995206699373664,1.19319512302449,1.29951061995351,0.626889834946601
"1110032A03Rik",4.2971434335943,4.35100580338302,4.22099653014599,5.46502568552379,5.20534720495484,4.25224680641475,3.90500222080743,4.09845657062262,7.20923310188592
"1110032F04Rik",0,0,0,1.42090667823619,0.987221021629367,0.995206699373664,2.06097339431503,1.29951061995351,1.5672245873665
"1110034G24Rik",1.86832323199752,2.04230884648591,2.19167127526811,3.71621746615618,3.14115779609344,2.44278008028081,2.92875166560558,3.7985695044795,2.71652261810194
"1110037F02Rik",197.294933298938,205.474029163843,209.426366303397,113.891135286316,117.928038401908,122.591370695574,106.736727368737,120.25471352339,116.601509300068
"1110038B12Rik",40.3557818111464,43.598854070634,45.4568857092645,40.878392127718,40.476061886804,40.1701613201734,46.5346097979553,41.5843398385124,42.8374720546844
"1110038F14Rik",21.3923010063716,19.6239241336255,21.835539742486,13.77186472752,13.7313469372085,14.1138404638447,13.667507772826,14.1946544641076,14.3139845646141
"1110051M20Rik",5.23130504959306,4.26220976657929,4.05865050975576,3.93481849357713,4.30787354892814,2.8951467618143,3.25416851733953,2.99887066143118,3.76133900967961
"1110059E24Rik",27.5577676719634,28.7699159244102,26.3000553032173,47.1085214092151,41.1042934460227,42.7938880730676,51.8497517096098,43.3836622353711,49.5242969607815
"1110059G10Rik",12.2375171695838,15.0065302198312,12.013605508877,9.18124315167997,7.71827344182959,7.96165359498931,9.65403326810727,9.29649905043667,7.73164129767475
"1110065P20Rik",6.35229898879157,6.83729483388761,6.57501382580432,6.23012928149712,4.39762091453081,5.24745350578841,4.44736364036402,6.09770367824341,5.32856359704611
"1190002N15Rik",45.0265898911402,42.5333016289891,42.7781763728257,49.2945316834246,42.7197460268708,41.3463146921604,47.7278049209798,45.582834053754,42.6285087763689
"1190007I07Rik",6.16546666559182,5.41655824502784,6.9808788767799,5.68362671294474,6.73105242020023,6.33313354146877,8.0269490094375,6.79744016591068,5.74649015367718
"1300002E11Rik",2.14857171679715,2.93026921452326,3.65278545878018,6.12082876778665,7.09004188261091,5.6093468510152,7.48458758988092,7.89702607510212,8.56749441093689
"1500009L16Rik",0,0,0,4.04411900728761,3.05141043049077,2.98562009812099,2.60333481387162,3.39872008295534,3.13444917473301
"1500011B03Rik",19.5239777743741,18.9135558391956,20.9426366303397,14.0997662686514,12.9236206467844,14.2947871364581,16.1623703027863,14.6944662410128,14.1050212862985
"1500011K16Rik",5.97863434239207,6.74849879708387,6.73735984619455,4.26272003470856,4.48736828013348,4.07130013380135,5.64055876338852,5.29800483519509,5.95545343199271
"1500015A07Rik",7.94037373598946,6.39331464986893,5.11389964229225,18.5810873307809,20.372651991806,20.4469740053135,22.6707073374654,19.9924710762079,20.3739196357645
"1520401A03Rik",0.560496969599256,0.0887960368037352,0.32469204078046,1.63950770565714,1.07696838723204,0.904733363066967,0.867778271290541,1.09958590919143,0.731371474104368
"1600002H07Rik",11.6770201999845,13.8521817413827,11.1207023967308,22.2973047969371,24.1420413471181,24.2468541301947,21.5859844983522,21.5918687623045,24.7621484803908
"1600002K03Rik",4.2971434335943,4.88378202420543,4.13982351995087,7.86963698715426,6.64130505459756,6.24266020516208,6.39986475076774,6.99736487667276,9.19438424588349
"1600012H06Rik",33.8166504991551,34.541658316653,33.6056262207777,30.3855428115123,29.4371359176757,26.7801075467822,34.3857139998877,29.7887819035498,29.4638222424903
"1600014C10Rik",1.68149090879777,1.7759207360747,1.37994117331696,1.42090667823619,1.97444204325873,1.35710004460045,2.16944567822635,1.79932239685871,1.8806695048398
"1600020E01Rik",3.17614949439579,3.19665732493447,1.86697923448765,3.06041438389332,3.94888408651747,4.61414015164153,4.01347450471875,4.2983812813847,4.59719212294174
"1600023N17Rik",0.560496969599256,0.17759207360747,0.405865050975576,1.85810873307809,2.69242096808009,2.44278008028081,2.27791796213767,1.69936004147767,2.82100425725971
"1700001L05Rik",17.7490707039764,11.8986689317005,15.6663909676572,26.4507243179351,28.0909254336356,28.951467618143,27.8773769652086,24.8906264898788,24.0307770062864
"1700003M07Rik",0,0.0887960368037352,0,2.51391181534094,2.24368414006674,3.43798677965448,2.60333481387162,1.79932239685871,2.61204097894417
"1700007L15Rik",1.02757777759864,0.887960368037352,1.0552491325365,1.74880821936761,1.97444204325873,2.62372675289421,2.60333481387162,2.29913417376391,1.77618786568204
"1700008J07Rik",2.14857171679715,2.57508506730832,1.0552491325365,1.85810873307809,2.78216833368276,3.07609343442769,2.60333481387162,2.99887066143118,2.19411442231311
"1700009J07Rik",25.4091959551663,22.0214171273263,22.0790587730713,0.218601027420952,0.628231559218688,0,0.325416851733953,0.199924710762079,0.313444917473301
"1700013H16Rik",708.65500189666,684.439851683191,653.361559060482,8.30683904199616,8.43625236665095,8.3235469402161,10.3048669715752,10.5960096703902,8.04508621514805
"1700017B05Rik",51.3788888799318,47.0618995059796,50.9766504025323,47.9829255188989,52.0534720495484,52.3840617215774,55.9716984982399,51.4806130212353,53.1811543313034
"1700020D05Rik",0.747329292799008,1.15434847844856,0.811730101951151,0.765103595973331,0.897473656026697,1.53804671721384,1.19319512302449,0.799698843048316,0.940334752419902
"1700020I14Rik",45.3068383759399,50.613740978129,45.7815777500449,26.8879263727771,26.0267360247742,27.7753142461559,28.2027938169426,28.5892336389773,28.6279691292281
"1700021F05Rik",7.75354141278971,9.32358386439219,8.27964703990174,13.553263700099,13.9108416684138,12.7567404192442,16.053898018875,15.094315662537,16.2991357086116
"1700025G04Rik",11.1165232303852,12.076261005308,12.5006435700477,36.069169524457,36.1681883378759,32.5704010704108,37.6398825172272,34.7868996726017,36.8820186226917
"1700028J19Rik",1.49465858559802,1.7759207360747,1.37994117331696,1.74880821936761,1.34621048404005,1.35710004460045,1.62708425866976,1.09958590919143,0.626889834946601
"1700029J07Rik",0.186832323199752,0.266388110411205,0.243519030585345,0.655803082262855,0.897473656026697,0.542840017840181,1.95250111040372,1.39947297533455,1.04481639157767
"1700030J22Rik",1.21441010079839,1.5095326256635,1.70463321409742,1.09300513710476,0.538484193616018,1.44757338090715,1.8440288264924,0.899661198429355,1.46274294820874
"1700030K09Rik",13.6387595935819,14.2073658885976,10.4713183151699,12.1323570218628,13.4621048404005,13.6614737823112,12.0404235141563,13.7948050425834,15.9856907911383
"1700034H15Rik",1.30782626239826,0.443980184018676,1.46111418351207,1.53020719194666,0.717978924821358,0.723786690453574,0.976250555201858,0.699736487667276,1.04481639157767
"1700037C18Rik",3.36298181759554,3.37424939854194,2.27284428546322,1.63950770565714,3.41039989290145,3.16656677073439,1.19319512302449,2.69898359528807,2.71652261810194
"1700037H04Rik",20.4581393903729,17.6704113239433,20.5367715793641,24.5926155848571,28.7191569928543,27.2324742283157,25.7079312869823,24.6907017791167,24.5531852020752
